,Date,Price,Open,High,Low,Vol,Change
0,2014-08-28,0.988,0.97,1.0,0.965,2.61M,1.86%
1,2014-08-27,0.97,0.95,1.0,0.95,4.46M,5.43%
2,2014-08-26,0.92,0.93,0.94,0.9109999999999999,124.43K,-0.54%
3,2014-08-25,0.925,0.9209999999999999,0.938,0.9209999999999999,8.87K,-0.54%
4,2014-08-22,0.93,0.94,0.94,0.93,50.24K,-0.53%
5,2014-08-21,0.935,0.94,0.94,0.93,190.40K,0.54%
6,2014-08-20,0.93,0.94,0.94,0.93,51.22K,0.54%
7,2014-08-19,0.925,0.95,0.95,0.925,384.20K,-1.60%
8,2014-08-18,0.94,0.9490000000000001,0.9520000000000001,0.935,2.75M,1.62%
9,2014-08-15,0.925,0.92,0.9490000000000001,0.9109999999999999,4.36M,1.65%
10,2014-08-14,0.91,0.91,0.92,0.909,707.24K,1.11%
11,2014-08-13,0.9,0.95,0.95,0.9,1.85M,-2.17%
12,2014-08-12,0.92,0.9279999999999999,0.93,0.9009999999999999,3.70M,0.11%
13,2014-08-11,0.919,1.08,1.109,0.85,9.59M,-14.11%
14,2014-08-08,1.07,1.08,1.091,1.06,152.16K,-0.93%
15,2014-08-07,1.08,1.083,1.11,1.06,891.51K,0.09%
16,2014-08-06,1.079,1.071,1.08,1.07,58.82K,0.84%
17,2014-08-05,1.07,1.061,1.074,1.061,8.11K,1.42%
18,2014-08-04,1.055,1.07,1.084,1.055,549.56K,-1.40%
19,2014-08-01,1.07,1.06,1.09,1.06,44.63K,0.94%
20,2014-07-31,1.06,1.1,1.101,1.06,94.54K,-3.64%
21,2014-07-30,1.1,1.12,1.12,1.095,119.69K,-0.90%
22,2014-07-29,1.11,1.111,1.115,1.11,9.71K,0.00%
23,2014-07-28,1.11,1.111,1.127,1.11,21.85K,0.91%
24,2014-07-25,1.1,1.1,1.1179999999999999,1.1,417.21K,-0.90%
25,2014-07-24,1.11,1.1,1.119,1.051,550.16K,0.63%
26,2014-07-23,1.103,1.111,1.12,1.103,23.26K,0.18%
27,2014-07-22,1.101,1.111,1.123,1.09,107.74K,-1.70%
28,2014-07-21,1.12,1.113,1.1320000000000001,1.113,62.54K,-0.88%
29,2014-07-18,1.13,1.121,1.13,1.117,146.58K,1.80%
30,2014-07-17,1.11,1.121,1.157,1.11,77.61K,-1.77%
31,2014-07-16,1.13,1.161,1.161,1.12,83.34K,-0.88%
32,2014-07-15,1.14,1.14,1.16,1.14,2.38K,0.09%
33,2014-07-14,1.139,1.13,1.155,1.122,184.78K,-0.96%
34,2014-07-11,1.15,1.131,1.15,1.111,235.31K,-0.43%
35,2014-07-10,1.155,1.13,1.155,1.13,20.09K,0.00%
36,2014-07-09,1.155,1.155,1.155,1.129,20.28K,2.21%
37,2014-07-08,1.13,1.179,1.179,1.129,152.20K,-2.25%
38,2014-07-07,1.156,1.18,1.18,1.15,48.00K,-1.20%
39,2014-07-04,1.17,1.17,1.205,1.155,206.14K,0.86%
40,2014-07-03,1.16,1.18,1.18,1.15,142.90K,0.17%
41,2014-07-02,1.158,1.169,1.169,1.155,123.00K,-0.17%
42,2014-07-01,1.16,1.153,1.165,1.1340000000000001,520.93K,2.47%
43,2014-06-30,1.1320000000000001,1.153,1.153,1.125,356.92K,-0.70%
44,2014-06-27,1.14,1.12,1.14,1.114,34.88K,1.79%
45,2014-06-26,1.12,1.15,1.15,1.12,58.70K,-3.45%
46,2014-06-25,1.16,1.166,1.166,1.127,341.13K,1.75%
47,2014-06-24,1.14,1.14,1.155,1.14,51.05K,-0.87%
48,2014-06-23,1.15,1.15,1.155,1.15,167.25K,1.32%
