Date,Value
2014-03-10,1.6633
2014-03-11,1.6628
2014-03-12,1.6606
2014-03-13,1.6677
2014-03-14,1.6629
2014-03-17,1.6644
2014-03-18,1.6574
2014-03-19,1.6628
2014-03-20,1.651
2014-03-21,1.6494
2014-03-24,1.6489
2014-03-25,1.6506
2014-03-26,1.6565
2014-03-27,1.6611
2014-03-28,1.6636
2014-03-31,1.6673
2014-04-01,1.6636
2014-04-02,1.6635
2014-04-03,1.6586
2014-04-04,1.659
2014-04-07,1.6611
2014-04-08,1.6749
2014-04-09,1.6748
2014-04-10,1.6775
2014-04-11,1.6721
2014-04-14,1.6735
2014-04-15,1.673
2014-04-16,1.6791
2014-04-17,1.6808
2014-04-22,1.6823
2014-04-23,1.6779
2014-04-24,1.68
2014-04-25,1.6811
2014-04-28,1.6807
2014-04-29,1.6843
2014-04-30,1.6885
2014-05-01,1.6895
2014-05-02,1.6872
2014-05-06,1.6992
2014-05-07,1.6965
2014-05-08,1.6953
2014-05-09,1.6841
2014-05-12,1.6872
2014-05-13,1.6838
2014-05-14,1.6777
2014-05-15,1.6795
2014-05-16,1.6829
2014-05-19,1.6827
2014-05-20,1.6847
2014-05-21,1.6878
2014-05-22,1.6859
2014-05-23,1.6842
2014-05-27,1.6803
2014-05-28,1.6706
2014-05-29,1.6716
2014-05-30,1.6774
2014-06-02,1.6757
2014-06-03,1.6738
2014-06-04,1.6754
2014-06-05,1.6792
2014-06-06,1.679
2014-06-09,1.6794
2014-06-10,1.6761
2014-06-11,1.6788
2014-06-12,1.6842
2014-06-13,1.6961
2014-06-16,1.6986
2014-06-17,1.6969
2014-06-18,1.6939
2014-06-19,1.7055
2014-06-20,1.7018
2014-06-23,1.7008
2014-06-24,1.6971
2014-06-25,1.6981
2014-06-26,1.7007
2014-06-27,1.7016
2014-06-30,1.7097
2014-07-01,1.7138
2014-07-02,1.7169
2014-07-03,1.7143
2014-07-04,1.7148
2014-07-07,1.7129
2014-07-08,1.712
2014-07-09,1.7138
2014-07-10,1.7111
2014-07-11,1.7102
2014-07-14,1.7089
2014-07-15,1.7143
2014-07-16,1.7142
2014-07-17,1.7094
2014-07-18,1.7067
2014-07-21,1.7065
2014-07-22,1.7058
2014-07-23,1.7041
2014-07-24,1.6974
2014-07-25,1.6975
2014-07-28,1.7
2014-07-29,1.6946
2014-07-30,1.6903
2014-07-31,1.6883
2014-08-01,1.6839
2014-08-04,1.684
2014-08-05,1.6871
2014-08-06,1.6833
2014-08-07,1.6843
2014-08-08,1.6797
2014-08-11,1.679
2014-08-12,1.6806
2014-08-13,1.6694
2014-08-14,1.6686
2014-08-15,1.6685
2014-08-18,1.6723
2014-08-19,1.6618
2014-08-20,1.6646
2014-08-21,1.6597
2014-08-22,1.657
2014-08-26,1.6577
2014-08-27,1.6584
2014-08-28,1.6582
